country,gem_location_id,gem_plant_name,other_names,local_name,state_province,latitude,longitude,operating_mw,retired_mw,units_operating,units_retired,units_other_status,wiki_url
India,L100000102305,Karnataka Gupta power station,,,Karnataka,14.75,75.66,,,0,0,1,https://www.gem.wiki/Karnataka_Gupta_power_station
India,L100000102152,Kasaipalli power station,,,Chhattisgarh,22.38895,82.5549,270,,2,0,0,https://www.gem.wiki/Kasaipalli_power_station
India,L100000102316,Kasargod power station,,,Kerala,12.242538,75.233321,,,0,0,2,https://www.gem.wiki/Kasargod_power_station
India,L100000102153,Katghora power station,,,Chhattisgarh,22.489779,82.60618,35,,1,0,0,https://www.gem.wiki/Katghora_power_station
India,L100000102342,Katni power station,,,Madhya Pradesh,23.834659,80.395517,,,0,0,4,https://www.gem.wiki/Katni_power_station
India,L100000102556,Kattupalli power station,,,Tamil Nadu,13.258618,80.340732,,,0,0,2,https://www.gem.wiki/Kattupalli_power_station
India,L100000102676,Katwa Super Thermal Power Project (NTPC),,,West Bengal,23.65,88.13,,,0,0,2,https://www.gem.wiki/Katwa_Super_Thermal_Power_Project_(NTPC)
India,L100000102528,Kawai Thermal Power Project,,,Rajasthan,24.777997,76.737144,1320,,2,0,6,https://www.gem.wiki/Kawai_Thermal_Power_Project
India,L100000102635,Khamberkhera IPP power station,,,Uttar Pradesh,28.01698726,80.83063677,90,,2,0,0,https://www.gem.wiki/Khamberkhera_IPP_power_station
India,L100000102154,Khamhar power station,,,Chhattisgarh,21.92771,83.339957,,,0,0,1,https://www.gem.wiki/Khamhar_power_station
India,L100000102343,Khandwa power station (Dwarkesh Energy),,,Madhya Pradesh,22.008889,76.766667,,,0,0,2,https://www.gem.wiki/Khandwa_power_station_(Dwarkesh_Energy)
India,L100000102344,Khandwa power station (Era Infra),,,Madhya Pradesh,21.999656,76.18417,,,0,0,2,https://www.gem.wiki/Khandwa_power_station_(Era_Infra)
India,L100000102406,Khaperkheda power station,,Khaperkheda-3 power station Unit 1 (Unit 5 (Khaperkheda-3 Unit 1)),Maharashtra,21.2818,79.116,1340,,5,0,0,https://www.gem.wiki/Khaperkheda_power_station
India,L100000102477,Kharagprasad power station,,,Odisha,20.809441,85.288621,94,,2,0,0,https://www.gem.wiki/Kharagprasad_power_station
India,L100000102345,Khargone power station,,,Madhya Pradesh,22.065169,75.851943,1320,,2,0,0,https://www.gem.wiki/Khargone_power_station
India,L100000102407,Khopoli Works power station,,,Maharashtra,18.77077477,73.25936243,60,,2,0,0,https://www.gem.wiki/Khopoli_Works_power_station
India,L100000102636,Khurja power station,,Khurja Super Thermal Power Project,Uttar Pradesh,28.158333,77.908333,1320,,2,0,1,https://www.gem.wiki/Khurja_power_station
India,L100000102408,Khursapar power station,,,Maharashtra,20.85564,79.322502,,,0,0,1,https://www.gem.wiki/Khursapar_power_station
India,L100000102409,Khutafali (Kolura) power station,,,Maharashtra,20.489921,77.868171,,,0,0,1,https://www.gem.wiki/Khutafali_(Kolura)_power_station
India,L100000102410,Kinebodi power station,,,Maharashtra,19.851041,79.206448,,,0,0,1,https://www.gem.wiki/Kinebodi_power_station
India,L100000102047,Kineta Power thermal station,,,Andhra Pradesh,14.166667,80.083333,,,0,0,3,https://www.gem.wiki/Kineta_Power_thermal_station
India,L100000102478,Kishore Nagar Coal-to-Liquids Project,,,Odisha,20.833,85.1,,,0,0,1,https://www.gem.wiki/Kishore_Nagar_Coal-to-Liquids_Project
India,L100000102106,Kiul Thermal Power Project,,,Bihar,25.146576,86.096278,,,0,0,1,https://www.gem.wiki/Kiul_Thermal_Power_Project
India,L100000102107,Kochar power station,,,Bihar,24.74839,84.376663,,,0,0,1,https://www.gem.wiki/Kochar_power_station
India,L100000102272,Koderma Thermal Power Station,,KTPS,Jharkhand,24.391534,85.561899,1000,,2,0,2,https://www.gem.wiki/Koderma_Thermal_Power_Station
